FID,postcode,pc_name,pa_fips,city_town,county,area_sqmi
132,1050,HUNTINGTON,31750,"HUNTINGTON, TOWN OF",HAMPSHIRE,29.24912802
133,1011,CHESTER,13450,"CHESTER, TOWN OF",HAMPDEN,25.95050806
134,1440,GARDNER,25485,GARDNER,WORCESTER,25.74279684
135,1072,SHUTESBURY,61870,"SHUTESBURY, TOWN OF",FRANKLIN,25.10603367
136,1258,SOUTH EGREMONT,63760,"MT WASHINGTON, TOWN OF",BERKSHIRE,25.56104976
137,1054,LEVERETT,35145,"LEVERETT, TOWN OF",FRANKLIN,23.52520636
138,1245,MONTEREY,42425,"MONTEREY, TOWN OF",BERKSHIRE,25.25721047
139,2631,BREWSTER,7945,"BREWSTER, TOWN OF",BARNSTABLE,25.20236634
140,1776,SUDBURY,68225,"SUDBURY, TOWN OF",MIDDLESEX,24.72143642
141,1537,NORTH OXFORD,48675,"OXFORD, TOWN OF",WORCESTER,5.93527472
142,1035,HADLEY,27655,"HADLEY, TOWN OF",HAMPSHIRE,24.54395228
143,1921,BOXFORD,7385,"BOXFORD, TOWN OF",ESSEX,24.40552734
144,1510,CLINTON,14430,"CLINTON, TOWN OF",WORCESTER,7.28250059
145,2067,SHARON,60820,"SHARON, TOWN OF",NORFOLK,24.20293853
146,2767,RAYNHAM,56025,"RAYNHAM, TOWN OF",BRISTOL,23.79636293
147,2652,NORTH TRURO,49515,"TRURO, TOWN OF",BARNSTABLE,7.70688699
148,2343,HOLBROOK,30420,"HOLBROOK, TOWN OF",NORFOLK,7.37583002
149,2359,PEMBROKE,52595,"PEMBROKE, TOWN OF",PLYMOUTH,23.46689056
150,1463,PEPPERELL,52770,"PEPPERELL, TOWN OF",MIDDLESEX,23.43765186
151,2777,SWANSEA,68715,"SWANSEA, TOWN OF",BRISTOL,22.98649468
152,1585,WEST BROOKFIELD,75365,"WEST BROOKFIELD, TOWN OF",WORCESTER,22.95784593
153,1220,ADAMS,590,"ADAMS, TOWN OF",BERKSHIRE,22.91794076
154,2748,SOUTH DARTMOUTH,63585,"DARTMOUTH, TOWN OF",BRISTOL,22.91723671
155,2332,DUXBURY,17860,"DUXBURY, TOWN OF",PLYMOUTH,23.58936801
156,1523,LANCASTER,34130,"LANCASTER, TOWN OF",WORCESTER,26.87742139
157,1453,LEOMINSTER,35075,LEOMINSTER,WORCESTER,26.21881287
158,1431,ASHBY,1920,"ASHBY, TOWN OF",MIDDLESEX,24.12791395
159,2451,WALTHAM,72600,WALTHAM,MIDDLESEX,6.03202378
160,2382,WHITMAN,79565,"WHITMAN, TOWN OF",PLYMOUTH,6.87364688
161,1606,WORCESTER,82000,WORCESTER,WORCESTER,5.91677304
162,1040,HOLYOKE,30840,HOLYOKE,HAMPDEN,22.76480917
163,2043,HINGHAM,30175,"HINGHAM, TOWN OF",PLYMOUTH,22.7094426
164,2180,STONEHAM,67700,"STONEHAM, TOWN OF",MIDDLESEX,6.52967935
165,1880,WAKEFIELD,72250,"WAKEFIELD, TOWN OF",MIDDLESEX,7.93378999
166,1890,WINCHESTER,80545,"WINCHESTER, TOWN OF",MIDDLESEX,6.33133579
167,2151,REVERE,56585,REVERE,SUFFOLK,6.20007829
168,2190,SOUTH WEYMOUTH,65720,"WEYMOUTH, TOWN OF",NORFOLK,7.77138409
169,1036,HAMPDEN,28040,"HAMPDEN, TOWN OF",HAMPDEN,19.64372813
170,1226,DALTON,16215,"DALTON, TOWN OF",BERKSHIRE,19.59946819
171,1852,LOWELL,37000,LOWELL,MIDDLESEX,4.98826343
172,1032,GOSHEN,26255,"GOSHEN, TOWN OF",HAMPSHIRE,4.87502661
173,1966,ROCKPORT,57845,"ROCKPORT, TOWN OF",ESSEX,7.35399402
