month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202101,alabama,al,256050,0.0244,0.0853,10767,-0.1023,-0.4368,76,0.1014,-0.2245,4384,0.1322,-0.2121,968,0.3596,1.0862,1780,0.0446,-0.4783,5318,-0.0522,0.7668,120.608,0.0171,0.1042,1999,0.002,0.0101,348413,0.0231,0.1253,16085,-0.0863,-0.2731,0.4939,0.0261,0.3365
202101,kansas,ks,184050,-0.0314,0.0308,4070,-0.1399,-0.4938,80,0.25,-0.1111,1732,0.0023,-0.2913,164,0.1714,0.1389,756,-0.0735,-0.4324,4375,-0.0861,0.3226,98.03921569,-0.0133,0.0825,1902,-3.00E-04,-0.0196,297813,0.0157,0.0882,8445,-0.1128,-0.2558,1.0749,0.0633,0.6635
202101,new york,ny,575050,0.0097,0.2236,54996,-0.1076,-0.0296,112,0.1789,0.098,13116,0.3428,-0.1061,632,0.0676,0.2061,6164,-0.1864,-0.2928,35316,-0.1348,0.4792,228.0405405,0.0332,0.4241,1347,-0.0271,-0.0815,1261975,0.0277,0.1759,90312,-0.1184,0.1212,0.6422,-0.0202,0.2209
202101,new jersey,nj,439050,0.0054,0.1577,20208,-0.149,-0.4222,69,0.1311,-0.1737,9676,0.2059,-0.2469,624,0.2581,0.4054,2500,-0.1883,-0.6032,10660,-0.117,4.4864,57.4765625,0.7578,-0.2684,518,0.2999,-0.4238,674049,0.0184,0.166,30868,-0.1382,-0.1639,0.5275,0.0192,0.472
202101,south carolina,sc,279950,-2.00E-04,0.0135,13728,-0.1019,-0.4685,73,0.0896,-0.2108,5640,0.0578,-0.2587,2616,1.311,2.0561,2376,-0.0704,-0.6019,12118,-0.0615,0.4462,137.1014493,0.0208,0.2516,1655,-0.0069,0.1026,456871,0.0196,0.0927,25846,-0.0834,-0.2444,0.8827,0.038,0.5583
202101,arkansas,ar,199050,-0.0045,0.0543,6109,-0.1043,-0.5047,80,0.1189,-0.1489,2168,0.0403,-0.3813,124,0.3478,-0.2051,908,0.0558,-0.5065,3418,-0.0566,0.3612,101.6260163,-0.0146,0.0538,1900,-0.0102,-0.0068,295563,0.0157,0.142,9527,-0.0877,-0.3583,0.5595,0.0283,0.3559
202101,colorado,co,537100,0.0433,0.0871,9263,-0.1632,-0.4528,81,0.1571,-0.1429,5796,0.2502,-0.1022,788,0.216,0.1257,1220,-0.2543,-0.6308,9885,-0.1383,0.2166,259.4562648,0.0564,0.2215,2070,-0.0138,-0.0796,1275403,0.0926,0.2926,19148,-0.1505,-0.2357,1.0671,0.0308,0.5871
202101,georgia,ga,329950,0.0297,0.1185,28254,-0.1284,-0.5158,58,0.0265,-0.2162,15816,0.1313,-0.2823,2876,0.2955,0.1634,5084,-0.1024,-0.6288,31193,-0.079,0.3744,129.640625,0.0229,0.1588,1876,-0.0087,-0.0833,483985,0.0476,0.2043,59447,-0.1031,-0.2665,1.104,0.0593,0.715
202101,california,ca,775050,0.066,0.3669,37315,-0.137,-0.3654,64,0.1429,-0.1111,26932,0.2036,-0.1171,1300,-0.0947,-0.0525,5212,-0.2136,-0.5651,44571,-0.1208,0.3544,446.0966543,0.0599,0.4827,1840,0.02,-0.0176,1813337,0.1279,0.4117,81886,-0.1283,-0.1071,1.1945,0.0221,0.6348
202101,maine,me,289950,-0.0173,0.16,3011,-0.1751,-0.5175,101,0.2625,-0.2574,932,0.0639,-0.1619,64,0.4545,0.4545,288,-0.301,-0.5135,943,-0.1633,0.64,171.901528,-0.0229,0.1696,1664,-0.0063,0.0012,458626,0.0266,0.204,3954,-0.1723,-0.4198,0.3132,0.0044,0.221
202101,illinois,il,224950,-0.0448,0.0414,30430,-0.1162,-0.3578,87,0.1918,0.1226,12036,0.2327,-0.2417,692,0.7475,1.5821,5024,-0.0309,-0.4327,20746,-0.0936,0.2552,117.8633218,-0.0493,0.0808,1535,-0.0119,-0.0936,373085,0.0145,0.1277,51176,-0.1072,-0.1993,0.6818,0.0169,0.333
